iter	Passed	Remaining
0	17	26605
1	28	21085
2	38	19302
3	49	18511
4	59	17840
5	70	17465
6	80	17123
7	90	16830
8	100	16597
9	110	16432
10	120	16315
11	130	16219
12	140	16106
13	150	16025
14	161	15957
15	171	15868
16	183	15991
17	193	15934
18	203	15864
19	213	15799
20	223	15767
21	233	15708
22	244	15671
23	254	15633
24	264	15608
25	274	15583
26	285	15594
27	296	15564
28	307	15575
29	317	15563
30	327	15515
31	337	15482
32	348	15472
33	358	15446
34	369	15446
35	379	15451
36	390	15424
37	400	15410
38	411	15407
39	421	15396
40	433	15417
41	443	15397
42	453	15377
43	464	15379
44	475	15373
45	485	15351
46	496	15350
47	507	15351
48	517	15329
49	527	15309
50	539	15314
51	549	15312
52	560	15313
53	571	15303
54	581	15275
55	592	15273
56	603	15274
57	613	15250
58	624	15247
59	634	15227
60	645	15228
61	656	15223
62	667	15215
63	677	15196
64	688	15200
65	699	15204
66	710	15186
67	721	15186
68	731	15171
69	741	15154
70	752	15151
71	763	15135
72	774	15133
73	784	15126
74	795	15117
75	805	15100
76	816	15081
77	827	15084
78	837	15062
79	848	15052
80	858	15038
81	868	15017
82	879	15013
83	889	15000
84	899	14977
85	909	14957
86	919	14941
87	929	14921
88	939	14901
89	949	14882
90	960	14866
91	970	14852
92	980	14832
93	990	14820
94	1001	14807
95	1011	14787
96	1021	14771
97	1031	14752
98	1041	14737
99	1051	14725
100	1062	14711
101	1072	14692
102	1082	14679
103	1092	14666
104	1102	14649
105	1112	14633
106	1122	14615
107	1132	14597
108	1142	14582
109	1152	14564
110	1162	14550
111	1173	14540
112	1183	14523
113	1193	14510
114	1203	14492
115	1213	14480
116	1223	14465
117	1233	14448
118	1243	14434
119	1253	14418
120	1263	14400
121	1273	14388
122	1284	14375
123	1293	14358
124	1304	14346
125	1314	14329
126	1324	14316
127	1334	14301
128	1344	14285
129	1354	14271
130	1364	14259
131	1374	14243
132	1384	14229
133	1394	14215
134	1404	14200
135	1414	14189
136	1424	14174
137	1434	14161
138	1444	14148
139	1454	14133
140	1464	14119
141	1474	14105
142	1484	14091
143	1495	14079
144	1505	14067
145	1515	14052
146	1525	14039
147	1535	14024
148	1545	14013
149	1555	14000
150	1565	13988
151	1576	13978
152	1586	13964
153	1596	13950
154	1606	13942
155	1617	13932
156	1627	13924
157	1638	13915
158	1649	13908
159	1660	13903
160	1670	13896
161	1682	13895
