iter	Recall	Logloss
0	0.5074733096	0.6857962691
1	0.5039145907	0.6786981026
2	0.51886121	0.6715631032
3	0.5081850534	0.6646724072
4	0.5103202847	0.6577379073
5	0.5160142349	0.6509149461
6	0.5167259786	0.6441385462
7	0.5202846975	0.6375356974
8	0.5046263345	0.6310796074
9	0.5195729537	0.6247314146
10	0.5096085409	0.6184181817
11	0.5024911032	0.6121175386
12	0.5060498221	0.6059295268
13	0.5067615658	0.5998120071
14	0.5010676157	0.5937267422
15	0.4982206406	0.5877854268
16	0.5017793594	0.5820024715
17	0.5067615658	0.5761120353
18	0.5060498221	0.5704487346
19	0.5110320285	0.5648279373
20	0.503202847	0.5592494353
21	0.5039145907	0.5536714014
22	0.503202847	0.5482675429
23	0.5074733096	0.5428563491
24	0.5067615658	0.5375879084
25	0.5081850534	0.5323756012
26	0.5096085409	0.5272196877
27	0.5138790036	0.5221513301
28	0.5209964413	0.5171600716
29	0.5174377224	0.5122200565
30	0.5195729537	0.507349233
31	0.5181494662	0.502558682
32	0.51886121	0.4978021545
33	0.5209964413	0.4930951015
34	0.5202846975	0.4884112511
35	0.5195729537	0.4838715064
36	0.5181494662	0.4793186518
37	0.5209964413	0.4748760353
38	0.5202846975	0.4704631764
39	0.5217081851	0.4661507233
40	0.5181494662	0.4618540333
41	0.5202846975	0.4576497895
42	0.51886121	0.4534947081
43	0.5202846975	0.4493066436
44	0.5217081851	0.4452904135
45	0.5209964413	0.4412698654
46	0.5209964413	0.4373670989
47	0.5231316726	0.4334403236
48	0.5224199288	0.4295912196
49	0.5224199288	0.4257185748
50	0.5224199288	0.4219364514
51	0.5231316726	0.4182136349
52	0.5231316726	0.4144819224
53	0.5238434164	0.4108814918
54	0.5245551601	0.4073257755
55	0.5259786477	0.4038252303
56	0.5238434164	0.400330928
57	0.5252669039	0.3969577629
58	0.5266903915	0.3935664935
59	0.5238434164	0.3902197044
60	0.5238434164	0.3869582602
61	0.5209964413	0.3837006138
62	0.5202846975	0.3805514627
63	0.5202846975	0.3773649587
64	0.5202846975	0.3742475421
65	0.5217081851	0.3711585045
66	0.5209964413	0.3681207362
67	0.5209964413	0.3651571797
68	0.5231316726	0.362127241
69	0.5245551601	0.359182127
70	0.5245551601	0.3563144502
71	0.5231316726	0.3534351982
72	0.5231316726	0.3506208457
73	0.5217081851	0.3478372393
74	0.5217081851	0.3450802429
75	0.5224199288	0.3423566198
76	0.5231316726	0.3396707919
77	0.5231316726	0.3370344906
78	0.5231316726	0.3344672507
79	0.5238434164	0.331860941
80	0.5231316726	0.3292967186
81	0.5238434164	0.326774089
82	0.5224199288	0.3242673788
83	0.5238434164	0.3218044984
84	0.5274021352	0.3193629999
85	0.528113879	0.3169206429
86	0.5295373665	0.3145212055
87	0.5295373665	0.3121761849
88	0.528113879	0.3098706243
89	0.5274021352	0.3075606937
90	0.5288256228	0.3052963879
91	0.5309608541	0.3030426949
92	0.5274021352	0.3008447974
93	0.5295373665	0.2986551196
94	0.5288256228	0.2964991531
95	0.5288256228	0.2943030504
96	0.5323843416	0.2921959342
97	0.5359430605	0.2900591645
98	0.5359430605	0.2880515957
99	0.537366548	0.2860367955
100	0.5387900356	0.2839722347
101	0.5395017794	0.2819986114
102	0.5402135231	0.2800077162
103	0.5416370107	0.2780769083
104	0.5466192171	0.2761492739
105	0.5451957295	0.2742428652
106	0.5473309609	0.2723371848
107	0.5466192171	0.2704533283
108	0.5473309609	0.2686532301
109	0.5473309609	0.2668373686
110	0.5466192171	0.2650117527
111	0.5473309609	0.2632686724
112	0.5466192171	0.2615208059
113	0.5487544484	0.2597685694
114	0.5480427046	0.2580703336
115	0.5516014235	0.2563520686
116	0.5494661922	0.2547306197
117	0.5501779359	0.2530692166
118	0.5508896797	0.2514232906
119	0.5516014235	0.249835319
120	0.5516014235	0.2482646972
121	0.553024911	0.2466726938
122	0.5523131673	0.2450868031
123	0.5537366548	0.2435604536
124	0.553024911	0.2420036962
125	0.553024911	0.2405096794
126	0.5551601423	0.2389961017
127	0.5558718861	0.2375035675
128	0.5537366548	0.2360197474
129	0.5544483986	0.2345550459
130	0.5537366548	0.2331454376
